"Product title","Product variant title","Product variant SKU","Week","Ending inventory units","Inventory units sold"
"Finley Romper in Midnight Blue","Midnight Blue / Newborn","940216","2026-04-27",-3,1
"Robes in Sage","Laura Robe / Long","10170","2026-04-27",38,0
"Amelia Labor & Postpartum Gown in Plum","Plum / Full Figure","10232","2026-04-27",9,4
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","2XL","75030","2026-04-27",46,0
"Lila Labor & Postpartum Gown in Black","Black / Curve","10260","2026-04-27",66,10
"Lila Labor & Postpartum Gown in Plum","Plum / Slim Petite","20119","2026-04-27",0,0
"Robes in Dusty Rose","Laura Robe / Long","10164","2026-04-27",15,9
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Extra Large","75003","2026-04-27",69,4
"Robes in Periwinkle","Mia Robe / Short","10192","2026-04-27",0,0
"Finley Romper in Midnight Blue","Midnight Blue / 9-12 Months","940219","2026-04-27",31,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Medium","75017","2026-04-27",23,2
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Full Figure","17002","2026-04-27",0,0
"Baby Swaddle Set: Lilac","Hat & Bow",,"2026-04-27",146,0
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Curve","45213","2026-04-27",2,1
"Lila Labor & Postpartum Gown in Black","Black / Full Figure","10112","2026-04-27",63,25
"Robes in Vintage Floral","Laura Robe / Long","10174","2026-04-27",-1,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Small","75016","2026-04-27",45,0
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Curve","10274","2026-04-27",25,0
"Amelia Labor & Postpartum Gown in Black","Black / Curve","10270","2026-04-27",25,4
"Lila Labor & Postpartum Gown in Lilac","Lilac / Full Figure","20006","2026-04-27",1,0
"Finley Romper in Vintage Floral","Vintage Floral / 18-24 Months","10221","2026-04-27",15,0
"Amelia Labor & Postpartum Gown in Sage","Sage / Full Figure","10226","2026-04-27",28,2
"Amelia Labor & Postpartum Gown in Sage","Sage / Standard","10225","2026-04-27",43,1
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Large","75010","2026-04-27",39,3
"Finley Romper in Black","Black / 6-9 Months","10199","2026-04-27",3,0
"Finley Romper in Dusty Rose","Dusty Rose / 3-6 Months","24225","2026-04-27",99,0
"Baby Swaddle Set: Midnight Blue","Hat & Bow",,"2026-04-27",16,27
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Petite","10230","2026-04-27",39,0
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Slim Petite","10023","2026-04-27",1,0
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Full Figure","940209","2026-04-27",16,31
"Lila Labor & Postpartum Gown in Lilac","Lilac / Standard","20005","2026-04-27",-1,0
"Baby Swaddle Set: Plum","Hat",,"2026-04-27",-3,14
"Finley Romper in Sage","Sage / 3-6 Months","94231","2026-04-27",0,0
"Finley Romper in Emerald","Emerald / 9-12 Months",,"2026-04-27",82,0
"Robes in Emerald","Mia Robe / Short","10182","2026-04-27",20,3
"Robes in Lilac","Mia Robe / Short","29711","2026-04-27",20,1
"Finley Romper in Deep Teal","Deep Teal / 16-24 Months","10215","2026-04-27",63,0
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Slim Petite","20121","2026-04-27",-4,1
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Large","75002","2026-04-27",66,0
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Curve","12237","2026-04-27",28,1
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Standard","940210","2026-04-27",29,55
"Finley Romper in Deep Teal","Deep Teal / 9-12 Months","10212","2026-04-27",64,0
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Slim Petite",,"2026-04-27",-1,0
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Standard","10094","2026-04-27",-1,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","2XL","75024","2026-04-27",19,1
"Baby Swaddle Set: Vintage Floral","Hat & Bow",,"2026-04-27",12,9
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Full Figure","10110","2026-04-27",3,1
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Medium","66944","2026-04-27",46,0
"Robes in Vintage Floral","Mia Robe / Short","10194","2026-04-27",-2,7
"Lila Labor & Postpartum Gown in Emerald","Emerald / Petite","10099","2026-04-27",17,4
"Amelia Labor & Postpartum Gown Lilac","Standard","29705","2026-04-27",15,7
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","2XL","75023","2026-04-27",11,3
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Standard","45210","2026-04-27",12,5
"Finley Romper in Emerald","Emerald / 6-9 Months","94223","2026-04-27",18,0
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Standard","45101","2026-04-27",-2,19
"Finley Romper in Plum","Plum / 3-6 Months","31115","2026-04-27",-1,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Extra Large","75019","2026-04-27",16,2
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Full Figure","10092","2026-04-27",7,12
"Lila Labor & Postpartum Gown in Sage","Sage / Curve","10263","2026-04-27",4,2
"Finley Romper in Lilac","Lilac / Newborn","94233","2026-04-27",17,0
"Finley Romper in Emerald","Emerald / 3-6 Months","94222","2026-04-27",72,1
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Curve","10275","2026-04-27",10,2
"Lila Labor & Postpartum Gown in Black","Black / Slim Petite","10303","2026-04-27",-1,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Medium","75027","2026-04-27",43,1
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Small","75008","2026-04-27",21,1
"Amelia Labor & Postpartum Gown Lilac","Petite","28704","2026-04-27",19,1
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Petite",,"2026-04-27",2,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Large","75006","2026-04-27",17,3
"Finley Romper in Dusty Rose","Dusty Rose / 9-12 Months","94224","2026-04-27",29,0
"Amelia Labor & Postpartum Gown in Black","Black / Standard","10222","2026-04-27",1,5
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Slim Petite","0","2026-04-27",9,2
"Baby Swaddle Set: Dusty Rose","Hat & Bow","10025","2026-04-27",21,17
"Baby Swaddle Set: Periwinkle","Hat & Bow",,"2026-04-27",-1,0
"Finley Romper in Black","Black / 9-12 Months","10200","2026-04-27",60,0
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Full Figure","107779","2026-04-27",-1,0
"Finley Romper in Dusty Rose","Dusty Rose / Newborn","94224","2026-04-27",29,1
"Finley Romper in Deep Teal","Deep Teal / Newborn","10209","2026-04-27",139,3
"Finley Romper in Deep Teal","Deep Teal / 12-16 Months","10213","2026-04-27",64,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Large","75028","2026-04-27",61,0
